id,vin,store,email,purchase_on
988,3D7TP2CT2BG754001,Suite 70,jgravenallrf@flickr.com,6/7/2022
989,2V4RW3DG2BR686720,Apt 1542,jlindenmanrg@hugedomains.com,8/13/2022
990,2B3CA7CW8AH279845,20th Floor,wdenmeadrh@sitemeter.com,4/10/2023
991,SCBFH7ZA2FC254407,14th Floor,cdacomberi@qq.com,7/17/2022
992,1G4HC5EM9AU200948,Apt 1026,linglesfieldrj@rambler.ru,1/23/2023
993,2HNYD2H44DH051751,12th Floor,scommonrk@webs.com,3/16/2023
994,SCBCU7ZA3AC144988,Room 898,adevennierl@posterous.com,5/28/2022
995,WP0CA2A84ES646471,PO Box 97804,tstenninerm@businessweek.com,3/8/2023
996,3VW507AT3FM353763,PO Box 22077,acarnduffrn@devhub.com,3/29/2023
997,2B3CK4CV1AH073575,Room 1297,fdurnro@loc.gov,7/15/2022
998,19UUA56751A796435,PO Box 35014,nteresarp@blog.com,8/7/2022
999,WAUUFAFH5DN241514,Apt 1913,rlemarrq@nymag.com,8/22/2022
1000,WUATNAFG0EN955029,6th Floor,skezarrr@cbc.ca,4/18/2023
